Id,Company,Model,Category
1,Audi,cyl. w/ sensor on end,3
2,Audi,beak,1
3,Audi,Moon,2
4,Audi,beak 377,1
5,Audi,Pre 4 bolts,3
6,Audi,Fat,2
7,Audi,Tri,1
8,BMW,Cylinder,2
9,BMW,long cigar,2
10,Chrysler,center sensor,5
11,Chrysler,Medium,4
12,Chrysler,center sensor 2,5
13,Chrysler,half/half w/ sensor,2
14,Citroen,Partner,2
15,Citroen,Partner large,2
16,Citroen,Xiarra,3
17,Citroen,Wide Flat,2
18,Citroen,like Berlingo,1
19,Citroen,C5,1
20,Citroen,Berlingo,3
21,Citroen,Jumpy,1
22,Citroen,Partner K638,2
23,Citroen,Partner K685,2
24,Citroen,Partner K578,2
25,Citroen,C5 bad,1
26,Daihatsu,good,1
27,Daihatsu,bad,3
28,Daihatsu,Cast Iron,3
29,Daihatsu,Manifold Sirion,1
30,DK,KNO,1
31,Fiat,Uno,3
32,Fiat,Big cigar,2
33,Fiat,Ears,1
34,Fiat,Alfa Romeo long,2
35,Fiat,Lancia,1
36,Fiat,Punto,3
37,Fiat,Punto Spice,3
38,Fiat,w/o ears,3
39,Ford,manifold big,4
40,Ford,Transit,5
41,Ford,Mazda,2
42,Ford,Fiesta,4
43,Ford,Fiesta small,3
44,Ford,brown cone 7T43 AA,4
45,Ford,Mondeo,5
46,Ford,cast,4
47,Ford,Tri,4
48,Ford,Focus,4
49,Ford,Pair,3
50,Ford,Filter,0
51,Ford,Filter Carbide,5
52,GM,Opel Ears,1
53,GM,Aveo,4
54,GM,Loaf,5
55,GM,Cavalier USA,5
56,GM,Manifold w/o stripes,4
57,GM,Half loaf,4
58,GM,Daewoo Korea,4
59,GM,Flow,5
60,GM,Korea DAC 3 bolts,5
61,GM,Like small loaf(Dmax),4
62,GM,Round w/ hooked pipe 12656266,5
63,GM,158 Round,4
64,GM,300 round hooked pipe,5
65,GM,150,4
66,GM,Chevy Silverado,2
67,GM,Chevy Silverado small,2
68,GM,Split S,5
69,GM,Manifold w/ stripes,4
70,GM,filter nob hook,5
71,GM,filter long hooked,5
72,GM,Malibu,4
73,GM,Big Round bad,4
74,GM,Opel 44 cyl. Like HF,2
75,GM,med1,4
76,GM,med2,4
77,GM,med long,4
78,GM,med4 knob,4
79,GM,Chevrolet large round,5
80,GM,Chevrolet large oval,5
81,Honda,Civic,3
82,Honda,7-8 sensor,2
83,Honda,manifold,3
84,Honda,Spider,2
85,Honda,Getz,3
86,Honda,Civic Big w/ sensor,1
87,Honda,center sensor,2
88,Honda,Civic good,1
89,Hyundai,Getz AE,3
90,Hyundai,Elantra manifold,1
91,Hyundai,UASR11,3
92,Hyundai,Cigar very bad,3
93,Hyundai,ODE,3
94,Hyundai,Accent,1
95,Hyundai,Tucson,2
96,Hyundai,M3SH31,2
97,Hyundai,JSH34,1
98,Hyundai,HAA9,1
99,Hyundai,filter bad,1
100,Isuzu,Dmax small,1
101,Isuzu,Filter,1
102,Isuzu,Good,2
103,Isuzu,Dmax,2
104,Isuzu,Dmax mini,3
105,KIA,Goat,1
106,KIA,UD9511,2
107,KIA,LE42,2
108,KIA,MCD,1
109,KIA,RDH11,1
110,KIA,SDH11,1
111,KIA,SDH01,1
112,KIA,manifold no writing,1
113,KIA,manifold W2BEF5,3
114,KIA,two sensor,1
115,KIA,one sensors,1
116,KIA,Bronze 2JB6D,3
117,KIA,Silver UDJB10,1
118,KIA,JSH21,1
119,KIA,JSH23,1
120,KIA,cubic pre 3 lines,1
121,Kia,silver cyl. no cover,3
